time,latitude,longitude,depth,mag,magType,place,updated,type,status,year,month,day,hour,minute,second,horizontalError,depthError
2021-09-15,33.155372721748066,141.66446220244464,9.199910065087504,4.971569785436649,mb,Ring of Fire - Japan,2021-09-15,earthquake,reviewed,2021,9,15,0,0,0,10,5
2016-05-13,30.74374862422579,145.2124580866971,12.416178389667412,6.342119494375505,mb,Ring of Fire - Japan,2016-05-13,earthquake,reviewed,2016,5,13,0,0,0,10,5
2023-07-11,37.618115293971556,151.43612991478645,27.763801751804838,6.7737522996048245,mb,Ring of Fire - Japan,2023-07-11,earthquake,reviewed,2023,7,11,0,0,0,10,5
2018-12-25,37.746206353106224,141.64375554829843,20.353796060935668,5.482143877739777,mb,Ring of Fire - Japan,2018-12-25,earthquake,reviewed,2018,12,25,0,0,0,10,5
2024-08-05,33.967758376066044,143.7539294279471,5.146937850767408,5.603424890033199,mb,Ring of Fire - Japan,2024-08-05,earthquake,reviewed,2024,8,5,0,0,0,10,5
2020-02-16,34.23010945192234,138.16087137933619,9.097933767042798,6.564240172083734,mb,Ring of Fire - Japan,2020-02-16,earthquake,reviewed,2020,2,16,0,0,0,10,5
2018-11-04,32.38908513631678,137.46678390184238,231.287937382064,5.014029587672515,mb,Ring of Fire - Japan,2018-11-04,earthquake,reviewed,2018,11,4,0,0,0,10,5
2023-01-10,33.97185645041969,135.98861365389192,18.247915545394008,5.703228573000394,mb,Ring of Fire - Japan,2023-01-10,earthquake,reviewed,2023,1,10,0,0,0,10,5
2018-06-20,28.725200990938205,146.31870265383193,11.853504407057336,5.790709995992932,mb,Ring of Fire - Japan,2018-06-20,earthquake,reviewed,2018,6,20,0,0,0,10,5
2017-07-15,34.94434758646508,131.63247689004888,4.515038981449568,5.1564808993386055,mb,Ring of Fire - Japan,2017-07-15,earthquake,reviewed,2017,7,15,0,0,0,10,5
2022-08-19,33.67470193032196,139.5791745740941,2.925662981301996,6.542209643761876,mb,Ring of Fire - Japan,2022-08-19,earthquake,reviewed,2022,8,19,0,0,0,10,5
2018-07-20,34.89586469088427,134.15660981190234,25.840241702608537,6.485693688709012,mb,Ring of Fire - Japan,2018-07-20,earthquake,reviewed,2018,7,20,0,0,0,10,5
2014-05-03,37.1834993424976,136.9046531982252,11.918825509032212,6.013695898233628,mb,Ring of Fire - Japan,2014-05-03,earthquake,reviewed,2014,5,3,0,0,0,10,5
2022-04-18,32.35807754441069,140.38447474292286,30.66624714834087,5.503940510678004,mb,Ring of Fire - Japan,2022-04-18,earthquake,reviewed,2022,4,18,0,0,0,10,5
2023-04-21,37.36901841425202,142.1574473163152,6.157669857393863,5.141948620853686,mb,Ring of Fire - Japan,2023-04-21,earthquake,reviewed,2023,4,21,0,0,0,10,5
2017-10-01,30.3480097068016,140.34281487403013,19.56206889292503,5.162617771764337,mb,Ring of Fire - Japan,2017-10-01,earthquake,reviewed,2017,10,1,0,0,0,10,5
2022-02-24,36.28403852296828,127.65150567466202,30.767420637058088,6.089187483401736,mb,Ring of Fire - Japan,2022-02-24,earthquake,reviewed,2022,2,24,0,0,0,10,5
2020-11-25,35.61695040202001,132.7825832415188,25.56541943595211,5.183373481546907,mb,Ring of Fire - Japan,2020-11-25,earthquake,reviewed,2020,11,25,0,0,0,10,5
2020-01-01,35.68237980381239,146.53571377141213,14.652835387311766,4.835510059263264,mb,Ring of Fire - Japan,2020-01-01,earthquake,reviewed,2020,1,1,0,0,0,10,5
2017-08-20,35.18847379919955,142.50798182673086,14.594182256800824,5.711832764247776,mb,Ring of Fire - Japan,2017-08-20,earthquake,reviewed,2017,8,20,0,0,0,10,5
2023-01-18,38.898190442793464,135.66426921975224,41.143699177052106,6.170584507306687,mb,Ring of Fire - Japan,2023-01-18,earthquake,reviewed,2023,1,18,0,0,0,10,5
2015-08-10,37.5619933594847,148.94296928662732,10.334621463832022,6.140136442472252,mb,Ring of Fire - Japan,2015-08-10,earthquake,reviewed,2015,8,10,0,0,0,10,5
2020-01-10,40.59732353343427,142.36916460455893,23.48950225130474,5.08521790167841,mb,Ring of Fire - Japan,2020-01-10,earthquake,reviewed,2020,1,10,0,0,0,10,5
2014-06-10,34.98542916604691,138.0833834686705,4.004836059282136,5.522483883878949,mb,Ring of Fire - Japan,2014-06-10,earthquake,reviewed,2014,6,10,0,0,0,10,5
2017-11-16,36.27345873216935,144.70267792481005,14.09558816648956,5.279415346012375,mb,Ring of Fire - Japan,2017-11-16,earthquake,reviewed,2017,11,16,0,0,0,10,5
2024-10-29,31.044289517725662,143.60193621019098,12.926523477568296,5.98953454429139,mb,Ring of Fire - Japan,2024-10-29,earthquake,reviewed,2024,10,29,0,0,0,10,5
2015-07-17,35.83007239799006,144.1359162451801,52.11923513943527,5.807801135126744,mb,Ring of Fire - Japan,2015-07-17,earthquake,reviewed,2015,7,17,0,0,0,10,5
2020-05-20,37.55036174637157,141.97169975732416,2.532452033211751,5.7971824031958645,mb,Ring of Fire - Japan,2020-05-20,earthquake,reviewed,2020,5,20,0,0,0,10,5
2023-10-28,35.12594019341007,139.31364091451093,25.542425581122718,5.725520566671004,mb,Ring of Fire - Japan,2023-10-28,earthquake,reviewed,2023,10,28,0,0,0,10,5
2014-06-30,36.009196291358755,140.25314905457583,7.57416149545799,5.669525813857585,mb,Ring of Fire - Japan,2014-06-30,earthquake,reviewed,2014,6,30,0,0,0,10,5
2022-02-23,33.660455143798934,144.28199397161737,3.505247815069371,5.928456246478122,mb,Ring of Fire - Japan,2022-02-23,earthquake,reviewed,2022,2,23,0,0,0,10,5
2018-10-25,31.556840081525,146.94801414073297,4.362033034794111,5.286855688672113,mb,Ring of Fire - Japan,2018-10-25,earthquake,reviewed,2018,10,25,0,0,0,10,5
2016-02-24,36.3493221154662,148.8946217194298,2.2438244275330983,5.399833975026092,mb,Ring of Fire - Japan,2016-02-24,earthquake,reviewed,2016,2,24,0,0,0,10,5
2019-01-16,36.54514305891814,159.2636574532736,37.923297772529736,6.1425343064159,mb,Ring of Fire - Japan,2019-01-16,earthquake,reviewed,2019,1,16,0,0,0,10,5
2021-01-03,33.332165306676146,139.36132585768058,90.04847073743207,4.863665756537639,mb,Ring of Fire - Japan,2021-01-03,earthquake,reviewed,2021,1,3,0,0,0,10,5
2019-06-06,34.88109157388114,137.32668629074968,17.414523499355635,4.726902097011702,mb,Ring of Fire - Japan,2019-06-06,earthquake,reviewed,2019,6,6,0,0,0,10,5
2020-06-19,33.76171516042968,142.97821825902162,18.65335209309022,4.605077328081151,mb,Ring of Fire - Japan,2020-06-19,earthquake,reviewed,2020,6,19,0,0,0,10,5
2020-04-30,32.854088872220096,143.39798874467337,15.126657574005698,5.361780020969718,mb,Ring of Fire - Japan,2020-04-30,earthquake,reviewed,2020,4,30,0,0,0,10,5
2016-05-26,33.87643532272859,133.5439194343191,18.584237248500035,5.340694380515597,mb,Ring of Fire - Japan,2016-05-26,earthquake,reviewed,2016,5,26,0,0,0,10,5
2021-05-27,35.04542983477959,142.21037008433365,6.497582941056997,6.428811846396971,mb,Ring of Fire - Japan,2021-05-27,earthquake,reviewed,2021,5,27,0,0,0,10,5
2016-04-10,39.778945382778396,137.83029200494974,6.832721699198534,5.3603846792176935,mb,Ring of Fire - Japan,2016-04-10,earthquake,reviewed,2016,4,10,0,0,0,10,5
2019-01-28,36.514961836941374,144.32877597085061,8.718949532074966,5.079822155766534,mb,Ring of Fire - Japan,2019-01-28,earthquake,reviewed,2019,1,28,0,0,0,10,5
2015-05-28,30.353513960527724,138.28435467947952,21.712695490060156,5.910313308645735,mb,Ring of Fire - Japan,2015-05-28,earthquake,reviewed,2015,5,28,0,0,0,10,5
2017-04-27,36.131888796381226,148.25675493239746,76.99309925339973,5.003900940318462,mb,Ring of Fire - Japan,2017-04-27,earthquake,reviewed,2017,4,27,0,0,0,10,5
2022-08-14,31.449280496166388,141.1448521611522,5.3909901183521205,5.596368224093082,mb,Ring of Fire - Japan,2022-08-14,earthquake,reviewed,2022,8,14,0,0,0,10,5
2017-05-28,36.33145828443868,143.8731702671467,11.478487644603327,5.24384171705315,mb,Ring of Fire - Japan,2017-05-28,earthquake,reviewed,2017,5,28,0,0,0,10,5
2020-10-15,33.3522412779071,145.48398127220702,7.400839037980325,7.067867294174921,mb,Ring of Fire - Japan,2020-10-15,earthquake,reviewed,2020,10,15,0,0,0,10,5
2018-11-21,39.62920295557725,146.6163190357562,7.647166818703239,5.722952712076175,mb,Ring of Fire - Japan,2018-11-21,earthquake,reviewed,2018,11,21,0,0,0,10,5
2021-09-10,35.00544083358403,143.77967640895827,18.428066159903036,6.960125577657995,mb,Ring of Fire - Japan,2021-09-10,earthquake,reviewed,2021,9,10,0,0,0,10,5
2022-06-15,35.59717908672041,136.99891561420603,8.286986585606407,5.841881250994011,mb,Ring of Fire - Japan,2022-06-15,earthquake,reviewed,2022,6,15,0,0,0,10,5
2023-09-17,36.82351562100441,145.1625639641394,14.943597421756445,5.179358586108589,mb,Ring of Fire - Japan,2023-09-17,earthquake,reviewed,2023,9,17,0,0,0,10,5
2016-08-14,37.060545538297916,140.35486207819872,10.929899545542698,6.0635962840620605,mb,Ring of Fire - Japan,2016-08-14,earthquake,reviewed,2016,8,14,0,0,0,10,5
2024-09-18,32.99307551804994,135.65957887297756,3.4301970156306396,5.472977430791745,mb,Ring of Fire - Japan,2024-09-18,earthquake,reviewed,2024,9,18,0,0,0,10,5
2023-02-07,35.8429756032051,136.88650240089703,7.440953991888922,5.675126649785635,mb,Ring of Fire - Japan,2023-02-07,earthquake,reviewed,2023,2,7,0,0,0,10,5
2022-04-06,33.133288505281165,138.2225567954182,52.06798390360501,6.371206656308017,mb,Ring of Fire - Japan,2022-04-06,earthquake,reviewed,2022,4,6,0,0,0,10,5
2015-02-17,34.72976410045938,137.47059973382852,19.97736518459822,5.8304463753131595,mb,Ring of Fire - Japan,2015-02-17,earthquake,reviewed,2015,2,17,0,0,0,10,5
2019-03-08,37.24188081536978,143.05185132716733,13.699062273597258,5.787459043621511,mb,Ring of Fire - Japan,2019-03-08,earthquake,reviewed,2019,3,8,0,0,0,10,5
2016-09-04,36.476423101809985,132.36273687082794,35.5536038103688,5.908295503299728,mb,Ring of Fire - Japan,2016-09-04,earthquake,reviewed,2016,9,4,0,0,0,10,5
2024-07-18,39.65857932751798,137.8024106226286,15.825507799832817,5.555250788337222,mb,Ring of Fire - Japan,2024-07-18,earthquake,reviewed,2024,7,18,0,0,0,10,5
2017-07-20,34.02208057705553,156.26992563043802,5.244945775712261,4.873000630841801,mb,Ring of Fire - Japan,2017-07-20,earthquake,reviewed,2017,7,20,0,0,0,10,5
2022-06-18,35.97249905746533,139.34928472816156,22.09070706814383,5.858197578995631,mb,Ring of Fire - Japan,2022-06-18,earthquake,reviewed,2022,6,18,0,0,0,10,5
2017-10-22,38.37062534507455,150.71602594056944,15.631913185139203,5.594446679061612,mb,Ring of Fire - Japan,2017-10-22,earthquake,reviewed,2017,10,22,0,0,0,10,5
2024-04-22,32.90256026572425,139.95591476877095,71.55250504972406,4.5459893508218325,mb,Ring of Fire - Japan,2024-04-22,earthquake,reviewed,2024,4,22,0,0,0,10,5
2017-05-23,40.44099972763672,142.0229144755876,13.233221337135634,5.854043552188997,mb,Ring of Fire - Japan,2017-05-23,earthquake,reviewed,2017,5,23,0,0,0,10,5
2023-01-15,35.73489971332617,137.46528412314436,15.364350716094659,5.517377016629006,mb,Ring of Fire - Japan,2023-01-15,earthquake,reviewed,2023,1,15,0,0,0,10,5
2022-11-11,36.33652070384415,132.6912167198214,10.102420450002416,5.9739296869222756,mb,Ring of Fire - Japan,2022-11-11,earthquake,reviewed,2022,11,11,0,0,0,10,5
2017-08-17,33.007317670086735,146.80055683124087,58.558852872931546,4.577754439016717,mb,Ring of Fire - Japan,2017-08-17,earthquake,reviewed,2017,8,17,0,0,0,10,5
2019-02-25,32.8269986139587,130.6211068071803,2.7401856526361072,5.455479130715393,mb,Ring of Fire - Japan,2019-02-25,earthquake,reviewed,2019,2,25,0,0,0,10,5
2024-02-27,35.96815568101427,135.86384528223837,56.41521620594677,6.111607908544703,mb,Ring of Fire - Japan,2024-02-27,earthquake,reviewed,2024,2,27,0,0,0,10,5
2014-07-09,33.35222545537679,127.70403318960726,5.237751313550706,5.834447768653822,mb,Ring of Fire - Japan,2014-07-09,earthquake,reviewed,2014,7,9,0,0,0,10,5
2017-02-14,35.20895799355664,144.91752153179232,12.862943465206792,6.084176432636538,mb,Ring of Fire - Japan,2017-02-14,earthquake,reviewed,2017,2,14,0,0,0,10,5
2023-07-06,33.58436742764639,137.21909427099007,56.026789330587455,5.2616582011832165,mb,Ring of Fire - Japan,2023-07-06,earthquake,reviewed,2023,7,6,0,0,0,10,5
2015-04-16,41.56940879965302,135.95850857322424,6.689956384124153,5.296166894691535,mb,Ring of Fire - Japan,2015-04-16,earthquake,reviewed,2015,4,16,0,0,0,10,5
2014-03-31,30.942648335270007,137.2078981528362,3.196815557966834,5.32105886918108,mb,Ring of Fire - Japan,2014-03-31,earthquake,reviewed,2014,3,31,0,0,0,10,5
2016-01-10,29.261880448807343,141.81238229402652,32.15358072333375,6.142808506196072,mb,Ring of Fire - Japan,2016-01-10,earthquake,reviewed,2016,1,10,0,0,0,10,5
2016-07-13,34.631633752527456,143.24446620626776,14.169332728450023,6.268165098652001,mb,Ring of Fire - Japan,2016-07-13,earthquake,reviewed,2016,7,13,0,0,0,10,5
2014-01-10,38.53832036216386,137.65412173947647,47.175390747935204,4.772119282545473,mb,Ring of Fire - Japan,2014-01-10,earthquake,reviewed,2014,1,10,0,0,0,10,5
2024-09-30,35.77600073603065,146.16257105868127,7.505411607591043,5.931209855365684,mb,Ring of Fire - Japan,2024-09-30,earthquake,reviewed,2024,9,30,0,0,0,10,5
2021-07-19,39.548699968801685,141.56229240548973,2.461759965963915,5.612185775070135,mb,Ring of Fire - Japan,2021-07-19,earthquake,reviewed,2021,7,19,0,0,0,10,5
2019-03-17,32.45443790183626,135.31877485861023,9.413057634952946,5.999903976903894,mb,Ring of Fire - Japan,2019-03-17,earthquake,reviewed,2019,3,17,0,0,0,10,5
2015-05-03,30.397657487793133,146.38838410949253,5.763318650778307,5.999388407187755,mb,Ring of Fire - Japan,2015-05-03,earthquake,reviewed,2015,5,3,0,0,0,10,5
2015-11-05,38.82638974596086,139.54216969675082,6.894154436681835,6.3622435121891066,mb,Ring of Fire - Japan,2015-11-05,earthquake,reviewed,2015,11,5,0,0,0,10,5
2014-08-24,38.07973953965623,140.83044066254075,9.30829149976576,5.1877700516427065,mb,Ring of Fire - Japan,2014-08-24,earthquake,reviewed,2014,8,24,0,0,0,10,5
2023-03-29,39.19038073631073,138.0504480449511,20.59836518491835,6.489773847299849,mb,Ring of Fire - Japan,2023-03-29,earthquake,reviewed,2023,3,29,0,0,0,10,5
2019-11-21,38.175273460548766,131.20630256788442,1.5852907392955349,5.090044892400535,mb,Ring of Fire - Japan,2019-11-21,earthquake,reviewed,2019,11,21,0,0,0,10,5
2015-03-23,36.08050700640655,148.59299687006842,10.983826801619182,6.319642309625679,mb,Ring of Fire - Japan,2015-03-23,earthquake,reviewed,2015,3,23,0,0,0,10,5
2015-06-26,37.944642130190246,141.65350278531966,27.015355584584203,5.791169044819037,mb,Ring of Fire - Japan,2015-06-26,earthquake,reviewed,2015,6,26,0,0,0,10,5
2023-10-20,30.430517388584718,146.02957603621292,3.0907402343951147,6.025352840794987,mb,Ring of Fire - Japan,2023-10-20,earthquake,reviewed,2023,10,20,0,0,0,10,5
2019-03-22,28.47535249204071,150.1607126297961,54.592072269264065,4.74152386041995,mb,Ring of Fire - Japan,2019-03-22,earthquake,reviewed,2019,3,22,0,0,0,10,5
2019-04-20,31.696244285458665,142.43836637461646,9.109407693406377,6.248420818967081,mb,Ring of Fire - Japan,2019-04-20,earthquake,reviewed,2019,4,20,0,0,0,10,5
2022-12-11,36.403338638623126,140.07532190789496,20.16819502156844,4.980601128109806,mb,Ring of Fire - Japan,2022-12-11,earthquake,reviewed,2022,12,11,0,0,0,10,5
2024-07-27,33.40922714488268,136.03563583868828,4.32649470659958,5.735781784027266,mb,Ring of Fire - Japan,2024-07-27,earthquake,reviewed,2024,7,27,0,0,0,10,5
2020-07-21,31.344531076140242,134.19837487365348,4.952459599331439,5.775024379427846,mb,Ring of Fire - Japan,2020-07-21,earthquake,reviewed,2020,7,21,0,0,0,10,5
2020-03-11,37.55406279380153,136.89818138732224,21.74762163737621,5.358152696645412,mb,Ring of Fire - Japan,2020-03-11,earthquake,reviewed,2020,3,11,0,0,0,10,5
2021-07-29,37.39907366775562,140.34502755679517,5.582611322915388,6.261236495288397,mb,Ring of Fire - Japan,2021-07-29,earthquake,reviewed,2021,7,29,0,0,0,10,5
2019-10-27,39.93490314050385,138.7548198022181,16.63069616863375,6.1459341778334595,mb,Ring of Fire - Japan,2019-10-27,earthquake,reviewed,2019,10,27,0,0,0,10,5
2021-08-29,33.925372398527664,144.50931718508943,9.710915602935433,5.277251871331043,mb,Ring of Fire - Japan,2021-08-29,earthquake,reviewed,2021,8,29,0,0,0,10,5
2018-07-13,34.439284632318774,139.7610456131323,6.332066561499403,5.163242420232046,mb,Ring of Fire - Japan,2018-07-13,earthquake,reviewed,2018,7,13,0,0,0,10,5
2023-09-16,30.318482256851986,141.0334473150054,1.4759479758600555,5.590129743425888,mb,Ring of Fire - Japan,2023-09-16,earthquake,reviewed,2023,9,16,0,0,0,10,5
2023-06-28,34.97608207605015,147.39972069445014,5.148553485763883,5.846420984588571,mb,Ring of Fire - Japan,2023-06-28,earthquake,reviewed,2023,6,28,0,0,0,10,5
2019-09-13,41.25343169162469,146.95451748092637,35.42635987346025,4.595459187182335,mb,Ring of Fire - Japan,2019-09-13,earthquake,reviewed,2019,9,13,0,0,0,10,5
2021-04-14,39.18719580778569,133.45175354994052,31.227045993002925,4.651733451838986,mb,Ring of Fire - Japan,2021-04-14,earthquake,reviewed,2021,4,14,0,0,0,10,5
2016-05-26,36.4897344768944,139.02874305882983,1.2486332863016385,5.67625662462648,mb,Ring of Fire - Japan,2016-05-26,earthquake,reviewed,2016,5,26,0,0,0,10,5
2023-05-15,33.22281822728339,135.68004615160092,5.307123016322923,5.829112976766896,mb,Ring of Fire - Japan,2023-05-15,earthquake,reviewed,2023,5,15,0,0,0,10,5
2016-11-29,35.521898987508706,144.53935973621213,19.13293505782227,5.794725666217986,mb,Ring of Fire - Japan,2016-11-29,earthquake,reviewed,2016,11,29,0,0,0,10,5
2019-07-15,36.584949828891126,141.03751742579567,61.53537147640991,7.025992293809383,mb,Ring of Fire - Japan,2019-07-15,earthquake,reviewed,2019,7,15,0,0,0,10,5
2017-12-29,33.70762283623215,142.47283301071243,5.393615137224598,6.18434920416949,mb,Ring of Fire - Japan,2017-12-29,earthquake,reviewed,2017,12,29,0,0,0,10,5
2019-12-28,35.779167505164445,135.47841687447794,2.3128486294695754,6.183155475266425,mb,Ring of Fire - Japan,2019-12-28,earthquake,reviewed,2019,12,28,0,0,0,10,5
2014-05-19,34.40611109389605,142.38414047162055,42.17020629166931,4.762251944194513,mb,Ring of Fire - Japan,2014-05-19,earthquake,reviewed,2014,5,19,0,0,0,10,5
2019-08-02,33.19409396331085,143.8012554731768,26.354476568389195,6.463797462897065,mb,Ring of Fire - Japan,2019-08-02,earthquake,reviewed,2019,8,2,0,0,0,10,5
2019-06-18,42.16963481665497,136.97792760934144,14.289620088094276,5.672075723856901,mb,Ring of Fire - Japan,2019-06-18,earthquake,reviewed,2019,6,18,0,0,0,10,5
2018-05-24,36.11343762011393,136.9800740664209,10.426209338061243,5.851953872483739,mb,Ring of Fire - Japan,2018-05-24,earthquake,reviewed,2018,5,24,0,0,0,10,5
2022-02-13,36.595750676656536,143.48175563326242,19.59929588681661,6.109674837146614,mb,Ring of Fire - Japan,2022-02-13,earthquake,reviewed,2022,2,13,0,0,0,10,5
2022-11-11,36.630449458891334,145.174604635403,17.475124711718365,4.475136068995674,mb,Ring of Fire - Japan,2022-11-11,earthquake,reviewed,2022,11,11,0,0,0,10,5
2018-11-08,40.127877484188865,144.12450093064368,8.17946389389328,6.863426792186557,mb,Ring of Fire - Japan,2018-11-08,earthquake,reviewed,2018,11,8,0,0,0,10,5
2021-10-18,29.387624236922434,138.24243257979344,65.13338943495829,5.811051027513731,mb,Ring of Fire - Japan,2021-10-18,earthquake,reviewed,2021,10,18,0,0,0,10,5
2021-06-05,31.368496522791894,131.93294672224604,12.870260968204958,5.351735266635842,mb,Ring of Fire - Japan,2021-06-05,earthquake,reviewed,2021,6,5,0,0,0,10,5
2019-11-22,32.345552174246045,141.43470630612148,21.51900879389683,5.899116628072346,mb,Ring of Fire - Japan,2019-11-22,earthquake,reviewed,2019,11,22,0,0,0,10,5
2021-02-14,36.01548922248324,137.923560430496,118.00097153796978,6.179669119663771,mb,Ring of Fire - Japan,2021-02-14,earthquake,reviewed,2021,2,14,0,0,0,10,5
2017-06-08,37.484460471170316,145.0494748052483,17.954573642982393,5.501884580396427,mb,Ring of Fire - Japan,2017-06-08,earthquake,reviewed,2017,6,8,0,0,0,10,5
2020-02-22,39.52931393737887,142.0101724002346,27.914288339119143,5.591483959736227,mb,Ring of Fire - Japan,2020-02-22,earthquake,reviewed,2020,2,22,0,0,0,10,5
2021-10-24,28.265591276878073,143.3790436502204,4.789192853927579,7.1543189686558835,mb,Ring of Fire - Japan,2021-10-24,earthquake,reviewed,2021,10,24,0,0,0,10,5
2019-08-25,33.66712021977167,141.88650246522425,4.844454631370399,6.254193169987211,mb,Ring of Fire - Japan,2019-08-25,earthquake,reviewed,2019,8,25,0,0,0,10,5
2014-05-10,35.081794114456635,139.3244984604253,20.4302312952319,6.823698384038627,mb,Ring of Fire - Japan,2014-05-10,earthquake,reviewed,2014,5,10,0,0,0,10,5
2023-03-09,31.824843791458843,137.43542812514292,28.094263184172423,5.9023565221485175,mb,Ring of Fire - Japan,2023-03-09,earthquake,reviewed,2023,3,9,0,0,0,10,5
2015-12-13,29.96162215399463,136.97468462004048,15.06924274767757,6.2571513918614,mb,Ring of Fire - Japan,2015-12-13,earthquake,reviewed,2015,12,13,0,0,0,10,5
2024-02-05,42.337255938850475,140.64610590987613,25.172864880324163,5.865636876762935,mb,Ring of Fire - Japan,2024-02-05,earthquake,reviewed,2024,2,5,0,0,0,10,5
2017-09-09,38.61491194190224,143.36212509447546,10.140434490467172,5.422077012627531,mb,Ring of Fire - Japan,2017-09-09,earthquake,reviewed,2017,9,9,0,0,0,10,5
2014-02-20,35.55165005571547,140.5004772128985,26.604310927933504,5.745863401566274,mb,Ring of Fire - Japan,2014-02-20,earthquake,reviewed,2014,2,20,0,0,0,10,5
2021-11-01,33.11774334686757,137.52305378534376,8.254114541074971,6.051303648321092,mb,Ring of Fire - Japan,2021-11-01,earthquake,reviewed,2021,11,1,0,0,0,10,5
2022-05-31,35.16717473686608,145.47095759235475,56.23561749769155,4.784521222171108,mb,Ring of Fire - Japan,2022-05-31,earthquake,reviewed,2022,5,31,0,0,0,10,5
2022-04-05,32.61049112402724,143.3038761586107,45.551275298730246,6.085191316127384,mb,Ring of Fire - Japan,2022-04-05,earthquake,reviewed,2022,4,5,0,0,0,10,5
2024-08-10,37.55673946709081,128.39631313010935,22.831473791164836,5.662072257132167,mb,Ring of Fire - Japan,2024-08-10,earthquake,reviewed,2024,8,10,0,0,0,10,5
2022-12-26,37.52158175075467,139.80754139990128,13.232235811739242,5.533912064508827,mb,Ring of Fire - Japan,2022-12-26,earthquake,reviewed,2022,12,26,0,0,0,10,5
2016-02-02,34.262770807742164,138.63638215126164,11.538683042673801,4.181868014235057,mb,Ring of Fire - Japan,2016-02-02,earthquake,reviewed,2016,2,2,0,0,0,10,5
2019-02-23,38.116478435335786,136.50891985842324,5.9261085389162655,5.255857903514947,mb,Ring of Fire - Japan,2019-02-23,earthquake,reviewed,2019,2,23,0,0,0,10,5
2024-10-28,31.94842348836383,142.58334654324062,10.33425744469633,5.320533657504841,mb,Ring of Fire - Japan,2024-10-28,earthquake,reviewed,2024,10,28,0,0,0,10,5
2018-09-21,33.2650582312181,135.4472107763006,2.4303586045415537,5.277481211412203,mb,Ring of Fire - Japan,2018-09-21,earthquake,reviewed,2018,9,21,0,0,0,10,5
2020-10-18,35.59425428230357,139.2781979403803,7.050799811009982,5.4558027958718585,mb,Ring of Fire - Japan,2020-10-18,earthquake,reviewed,2020,10,18,0,0,0,10,5
2015-03-05,38.258316580308964,138.02708840881704,24.555657148595067,4.809558568330863,mb,Ring of Fire - Japan,2015-03-05,earthquake,reviewed,2015,3,5,0,0,0,10,5
2017-10-26,39.16574680712086,126.70324321475314,3.523165665759593,4.552974007048634,mb,Ring of Fire - Japan,2017-10-26,earthquake,reviewed,2017,10,26,0,0,0,10,5
